iter	Passed	Remaining
866	4753	729
867	4762	724
868	4771	719
869	4781	714
870	4793	709
871	4807	705
872	4818	701
873	4843	698
874	4865	695
875	4882	691
876	4892	686
877	4902	681
878	4911	676
879	4920	671
880	4930	666
881	4940	661
882	4950	655
883	4961	651
884	4971	645
885	4980	640
886	4990	635
887	4998	630
888	5010	625
889	5022	620
890	5033	615
891	5049	611
892	5060	606
893	5070	601
894	5086	596
895	5094	591
896	5105	586
897	5114	580
898	5122	575
899	5134	570
900	5146	565
901	5156	560
902	5166	554
903	5174	549
904	5183	544
905	5193	538
906	5210	534
907	5218	528
908	5226	523
909	5235	517
910	5244	512
911	5255	507
912	5262	501
913	5271	496
914	5279	490
915	5288	485
916	5297	479
917	5306	473
918	5315	468
919	5324	462
920	5332	457
921	5339	451
922	5350	446
923	5359	440
924	5369	435
925	5379	429
926	5389	424
927	5401	419
928	5411	413
929	5420	407
930	5429	402
931	5438	396
932	5445	391
933	5452	385
934	5464	379
935	5473	374
936	5481	368
937	5494	363
938	5507	357
939	5516	352
940	5531	346
941	5545	341
942	5554	335
943	5568	330
944	5582	324
945	5592	319
946	5608	313
947	5618	308
948	5630	302
949	5644	297
950	5655	291
951	5669	285
952	5676	279
953	5685	274
954	5699	268
955	5708	262
956	5718	256
957	5726	251
958	5733	245
959	5744	239
960	5748	233
961	5755	227
962	5760	221
963	5771	215
964	5779	209
965	5783	203
966	5788	197
967	5796	191
968	5800	185
969	5807	179
970	5810	173
971	5818	167
972	5822	161
973	5829	155
974	5836	149
975	5839	143
976	5844	137
977	5851	131
978	5855	125
979	5864	119
980	5875	113
981	5886	107
982	5889	101
983	5897	95
984	5907	89
985	5910	83
986	5921	77
987	5930	72
988	5941	66
989	5949	60
990	5958	54
991	5962	48
992	5965	42
993	5976	36
994	5986	30
995	5996	24
996	6000	18
997	6011	12
998	6017	6
999	6028	0
91	173
982	9499	164
983	9506	154
984	9516	144
985	9524	135
986	9534	125
987	9543	115
988	9550	106
989	9565	96
990	9574	86
991	9583	77
992	9593	67
993	9601	57
994	9610	48
995	9619	38
996	9628	28
997	9637	19
998	9647	9
999	9656	0
